Collection,Number,Species,Ecomorph,Ground,Region,SVL,TL,HL,SL,HW,Humerus,Radius,Hand,Femur,Tibia,Foot,Finger.III.W,Toe.III.W
USNM,285678,gracilipes,Mainland,Mainland,Mainland,56.4,104.5,13.9,6.2,7.9,8.4,9,10.6,15.3,16.7,21.1,0.8,1
USNM,285677,gracilipes,Mainland,Mainland,Mainland,56.9,106.1,14.2,6.2,8.1,8.2,9.2,9.8,16.5,17.2,21,0.8,0.9
USNM,108067,grahami,Trunk Crown,Trunk Crown,Caribbean,60.7,109.1,18,8.9,10.2,7.5,9.9,10.4,13.3,15.2,19.6,1.5,1.8
USNM,337577,grahami,Trunk Crown,Trunk Crown,Caribbean,70.1,122.4,21.4,9.7,12.1,10.3,10.5,11.8,13.8,17.5,22.4,1.8,2.1
USNM,234711,granuliceps,Mainland,Mainland,Mainland,32.6,,8.9,3.9,5.4,4.9,4.7,5.6,8.9,10.1,13,0.5,0.6
USNM,234702,granuliceps,Mainland,Mainland,Mainland,36.8,,9.5,4,5.9,5.6,5.7,7,10.5,12.2,14.7,0.5,0.7
MCZ,87247,granuliceps,Mainland,Mainland,Mainland,40.28,76.34,10.24,3.99,6.25,5.96,6.18,6.77,11.94,12.76,17,0.68,0.66
USNM,327121,gundlachi,Trunk Ground,Trunk Ground,Caribbean,72.9,148.5,21.5,9.8,13.2,10.8,11.6,14.2,17.9,22,28.6,1.5,1.9
USNM,327124,gundlachi,Trunk Ground,Trunk Ground,Caribbean,75.6,,22.3,9.8,12.4,11.4,11.6,13.6,18.8,21.9,28,1.4,1.7
USNM,72629,hendersoni,Grass Bush,Grass Bush,Caribbean,39.13,90.78,13.34,7.15,5.88,4.65,4.74,5.77,9.75,11.15,15.52,0.53,0.68
USNM,573130,heteropholidotus,Mainland,Mainland,Mainland,40.8,79.5,11.8,5.6,7.6,6.1,5.8,6.4,9,10.3,14,0.8,1
USNM,260381,hispaniolae,Trunk Ground,Trunk Ground,Caribbean,70.8,132.5,21.1,9.6,12.4,11.2,11.8,12.8,17.1,20.3,26.3,1.4,1.6
MVZ,272282,hobartsmithi,Mainland,Mainland,Mainland,50.45,116.94,13.8,6.12,8.19,7.32,7.26,9.53,13.53,14.14,20.8,0.97,1.2
USNM,498019,homolechis,Trunk Ground,Trunk Ground,Caribbean,54.81,84.2,15.52,7.13,9.81,9.31,8.12,9.99,12.55,14.66,19.89,1.02,1.27
USNM,339732,humilis,Mainland,Ground,Mainland,32.2,,9,4.2,5.3,4.7,5.2,5,8.1,9.3,11.9,0.4,0.6
CAS,178139,humilis,Mainland,Ground,Mainland,37.4,64.6,10.3,4.7,6.4,5.4,5.7,6.4,8.5,10.5,13,0.6,0.8
MVZ,214384,insolitus,Twig,Twig,Caribbean,41.24,50.02,11.86,6.44,5.16,4.13,4.43,5.08,6.97,7.29,9.07,0.72,0.81
MVZ,214382,insolitus,Twig,Twig,Caribbean,42.63,51.94,12,6.71,5.76,4.41,4.83,4.99,7.13,7.57,10.22,0.76,0.85
USNM,589700,isolepis,Unknown,Unknown,Caribbean,40.37,45.85,13.26,6.63,7.23,5.32,5.07,4.79,6.49,7.23,9.7,0.83,0.97
MCZ,160654,juangundlanchi,Grass Bush,Grass Bush,Caribbean,35.03,97.33,9.71,4.84,4.55,4.17,3.9,4.22,7.25,8.26,11.24,0.46,0.62
USNM,589711,jubar,Trunk Ground,Trunk Ground,Caribbean,60.26,99.22,15.41,6.77,9.75,8.97,8.47,10.05,12.76,15.58,19.57,1.31,1.37
MCZ,46247,kemptoni,Mainland,Mainland,Mainland,47.2,97.55,12.61,6.13,6.87,5.48,6.52,6.91,8.65,10.09,15.15,0.92,1.07
CAS,178129,kemptoni,Mainland,Mainland,Mainland,50.3,97.4,14.3,7.1,7.3,6.8,6.8,7.3,11.3,11.5,15.3,1.1,1.2
MCZ,62541,koopmani,Grass Bush,Grass Bush,Caribbean,33.8,78.26,10.71,5.2,5.22,4.5,4.86,4.72,8.36,9.34,13.16,0.5,0.65
USNM,578747,kreutzi,Mainland,Mainland,Mainland,37.4,54,10.5,4.6,6.6,4.7,4.9,6.3,7.1,8.2,11.6,0.7,1
USNM,321890,krugi,Grass Bush,Grass Bush,Caribbean,50.4,117.9,14.9,6.8,8.7,7.4,7,7.6,11.3,13.1,17.3,0.8,1.2
